"","id","country","year","gini","population","urbanPop","imports","exports","trade","fdi","GDP","GDPpercapita","netInvestment","edExpenditure","unemployment","taxRevenue","expenditure","emplAgr","emplInd","emplServ","netMigration","wageInequality","logGDP","logGDPpercapita","percUrbanPop","logWageInequality","year2008"
"1","1","Albania",2005,30.6,3011487,1407298,47.8593431301091,21.6556057990406,70.8723282677903,3.2597683417782,8052075520,3062.6826171875,NA,NA,14.1000003814697,NA,NA,45.2709999084473,17.761999130249,36.9669990539551,NA,NA,22.8091957237162,8.02704648317722,0.467310003330581,NA,0
"2","1","Albania",2008,30,2947314,1473392,52.1493333802176,-0.739138066564465,77.4517514962857,9.7276961996335,12881353728,3775.59228515625,NA,NA,13.0599002838135,NA,NA,44.6559982299805,17.7779998779297,37.5660018920898,NA,NA,23.2790466552053,8.23631254610625,0.499910087625547,NA,1
"3","1","Albania",2012,29,2900401,1575788,47.572712860263,0.293590866544832,76.5101998707994,7.45397244519001,12319784960,4276.6201171875,4.39538989399097,NA,13.3759002685547,17.4832335567459,23.007590723666,46.0429992675781,17.2929992675781,36.6640014648438,NA,NA,23.234472340354,8.36091828435876,0.543300047131414,NA,0
"4","2","Austria",2005,28.7,8227829,4839033,45.4140534786122,6.66510407542322,94.0338056833054,25.72610677193,315974418432,44637.85546875,1.66717288196325,95.27511,NA,25.5139554642579,45.9123747815754,5.27400016784668,27.5750007629395,67.1510009765625,11.9431677349399,3.8,26.4789270929272,10.7063375553266,0.588129991520242,1.33500106673234,0
"5","2","Austria",2006,29.6,8268641,4839801,47.2466423435202,7.57617404098208,98.0883112053436,3.12425365181615,335998550016,45951.734375,1.52271758609044,95.88922,NA,25.0504425566822,45.188096157763,5.24399995803833,28.1609992980957,66.5940017700195,11.9431677349399,3.7,26.5403726814717,10.7353468719029,0.58532000603243,1.30833281965018,0
"6","2","Austria",2007,30.6,8295487,4832038,48.172384639555,7.57181230657373,100.733254061926,17.7223760527323,388691460096,47510.29296875,1.86239446672571,96.27258,NA,25.3919943156154,43.9779149065683,5.52699995040894,27.3239994049072,67.1490020751953,11.9431677349399,3.8,26.6860517041387,10.7687016606269,0.582489973162516,1.33500106673234,0
"7","2","Austria",2008,30.4,8321496,4823638,48.8248221152974,2.17066566715036,102.073682731706,1.4666235588623,430294302720,48053.484375,2.01030147169182,96.22893,NA,26.0775197165623,44.5742404112228,5.2519998550415,26.2350006103516,68.5130004882813,12.4956479247346,4.2,26.7877352364523,10.780069927378,0.579659955373409,1.43508452528932,1
"8","2","Austria",2009,31.5,8343323,4812679,41.8548144134358,-14.3681116814132,87.0622309742796,3.57176483919622,400172285952,46123.4921875,1.9482091660851,95.82597,5.30140018463135,25.2251652368968,47.848356650487,5.32200002670288,24.9699993133545,69.7080001831055,12.4956479247346,4.2,26.7151610062034,10.7390776911066,0.576829999270075,1.43508452528932,0
"9","2","Austria",2010,30.3,8363404,4800510,47.7576359096203,13.1310737848627,99.0197962369563,-5.61520909859131,391892762624,46858.04296875,1.91697006089694,95.08272,4.82000017166138,25.2816355062362,46.4268063334548,5.21299982070923,24.9080009460449,69.8789978027344,12.4956479247346,4.3,26.6942540745765,10.7548779478254,0.573989968677825,1.45861502269952,0
"10","2","Austria",2011,30.8,8391643,4792887,51.154117778086,5.93536481112815,105.102788629725,5.32899744107078,431120318464,48065.31640625,1.82532630167106,95.92864,4.56379985809326,25.4279852755305,45.5076838109706,4.93800020217896,26.0259990692139,69.0370025634766,12.4956479247346,4.1,26.7896530492613,10.7803161233608,0.571150011982159,1.41098697371026,0
"11","2","Austria",2012,30.5,8429991,4817487,51.1785012313079,1.43769259228949,105.152177427838,1.27486772723933,409425248256,48172.23828125,1.69686753969145,96.02027,4.86499977111816,25.92819764092,46.1450516838,4.67500019073486,26.0799999237061,69.245002746582,12.4956479247346,4.2,26.738020179635,10.782538164836,0.571470005128119,1.43508452528932,0
"12","2","Austria",2013,30.8,8479823,4861991,50.625120789651,0.640653286716272,104.066414086373,0.104941937585045,430068727808,47901.3671875,1.77632566063063,95.45086,5.33479976654053,26.4151730942712,46.6216192018652,4.57600021362305,25.9080009460449,69.5169982910156,12.6915743074468,4.1,26.7872108649739,10.7768993255282,0.573359962819979,1.41098697371026,0
"13","2","Austria",2014,30.5,8546356,4916377,50.1169562048263,2.88760034420797,103.503535251069,0.387418401667625,441996115968,47842.75,1.62462970071957,95.01879,5.61969995498657,26.4178983110922,47.5011846905473,4.83699989318848,25.7509994506836,69.4120025634766,12.6915743074468,4.1,26.8145669315828,10.77567487025,0.57526002895269,1.41098697371026,0
"14","2","Austria",2015,30.5,8642699,4988134,49.3397911935423,3.54700181938092,102.430054670253,-2.08817008219972,381805690880,47850.16796875,1.67716405906712,94.51021,5.72270011901855,26.8270027660318,46.2789576356442,4.5310001373291,25.7639999389648,69.7050018310547,12.6915743074468,4,26.6681776535225,10.7758299071936,0.577150031489006,1.38629436111989,0
"15","3","Belgium",2005,29.3,10478617,10206487,69.8549958777555,5.0442914499676,143.376220942029,8.69561392873802,387365765120,42994.359375,0.219564095122396,97.208,8.44019985198975,25.3533123068902,43.3828024070826,2.03900003433228,24.6860008239746,73.2750015258789,12.5922529922265,4,26.6826352131316,10.6688242087456,0.974029969794678,1.38629436111989,0
